author,250-499,500-749,750-999,<250,>=1000
Architecture For Humanity,1,0,0,0,0
Ariel Levy,0,0,0,1,0
Arielle Ford,1,0,0,0,0
Arien Mack,1,0,0,0,0
Aristophanes,10,4,0,7,0
Aristotle,5,1,0,2,2
Armand Marie Leroi,1,0,0,0,0
Armistead Maupin,1,1,0,0,0
Arnold Rampersad,0,1,0,0,0
Arnon Grunberg,1,0,0,0,0
Art Spiegelman,1,0,0,1,0
Arthur  Miller,0,1,1,3,0
Arthur Agatston,1,0,0,0,0
Arthur Bennett,0,0,0,1,0
Arthur C. Clarke,1,0,1,1,0
Arthur Conan Doyle,5,2,1,7,2
Arthur Edward Waite,0,0,0,1,0
Arthur Golden,4,2,1,0,0
Arthur Herzog III,1,0,0,0,0
Arthur J. Roth,0,0,0,1,0
Arthur Koestler,2,2,1,2,0
Arthur Nersesian,1,0,0,0,0
Arthur Plotnik,1,0,0,0,0
Arthur Schopenhauer,0,1,0,3,0
Arthur Yorinks,0,0,0,1,0
Arturo Pérez-Reverte,3,1,0,0,0
Arundhati Roy,1,0,0,0,0
Ashley Gardner,1,0,0,0,0
Ashley Shannon,0,0,0,1,0
Astrid Lindgren,1,0,0,11,0
Atul Gawande,1,0,0,0,0
Audre Lorde,0,0,0,1,0
Audrey Niffenegger,0,2,0,2,0
Audrey Penn,0,0,0,1,0
Augusten Burroughs,3,0,0,1,0
Augustine of Hippo,6,1,1,4,1
Aurelio Voltaire,0,0,0,1,0
Avi,1,0,0,3,0
Avigdor Kahalani,0,0,0,1,0
Ayn Rand,3,2,2,4,5
Azar Nafisi,2,0,0,0,0
B.K. Beckwith,0,0,0,1,0
Babette Rothschild,0,0,0,1,0
Babette Smith,1,0,0,0,0
Barack Obama,2,0,0,0,0
Barbara  Newman,0,0,0,1,0
Barbara Ann Brennan,1,0,0,0,0
Barbara Berst Adams,0,0,0,1,0
Barbara Bottner,0,0,0,1,0
Barbara Bretton,1,0,0,0,0
Barbara Cleverly,1,0,0,0,0
Barbara Coloroso,1,0,0,0,0
Barbara Conklin,0,0,0,3,0
Barbara Ehrenreich,2,0,0,2,0
Barbara Fairchild,0,0,1,0,0
Barbara Hambly,1,0,0,0,0
Barbara Haworth-Attard,0,0,0,1,0
Barbara Kerley,0,0,0,1,0
Barbara Kingsolver,3,3,0,1,0
Barbara Leonie Picard,0,0,0,1,0
Barbara M. Walker,1,0,0,0,0
Barbara Nadel,4,0,0,0,0
Barbara Park,0,0,0,3,0
Barbara Richard,1,0,0,0,0
Barbara Taylor Bradford,1,0,1,0,0
Barbara W. Tuchman,0,2,0,0,0
Bard E. O'Neill,0,0,0,1,0
Bard Thompson,1,0,0,0,0
Barrie Trinkle,0,0,0,1,0
Barrington Moore Jr.,0,1,0,0,0
Barron's,0,0,0,1,0
Barry  Lopez,2,0,0,2,0
Barry Chubin,0,0,0,1,0
Barry Eisler,1,0,0,0,0
Barry Glassner,0,0,0,1,0
Barry Hughart,1,0,0,0,0
Barry R. Cournoyer,0,0,0,1,0
Barry Schwartz,1,0,0,0,0
Bart D. Ehrman,0,0,0,1,0
Bart G. Farkas,1,0,0,0,0
Bart King,1,0,0,0,0
Barthe DeClements,0,0,0,2,0
Bartholomew Gill,1,0,0,0,0
Barton Zwiebach,0,1,0,0,0
Basil Mahon,1,0,0,0,0
Basil Pao,0,0,0,1,0
Beatrix Potter,0,0,0,6,1
Bebe Moore Campbell,1,0,0,0,0
Belva Plain,1,0,0,0,0
Ben Avery,0,0,0,1,0
Ben Bova,1,0,0,0,0
Ben Carson,0,0,0,1,0
Ben Counter,0,0,1,0,0
Ben Elton,2,0,0,0,0
Ben Katchor,0,0,0,1,0
Ben M. Baglio,0,0,0,1,0
Ben Mezrich,1,0,0,0,0
Ben Mikaelsen,0,0,0,1,0
Ben R. Kaplan,1,0,0,0,0
Ben Schoen,0,0,0,1,0
